project,revision,path.method
deltaspike, 42acc253a94c84ac354271611ca7613e5f1e1179,deltaspike/modules/proxy/impl-asm/src/main/java/org/apache/deltaspike/proxy/impl/CopyAnnotationVisitorAdapter.java#public_void_visit(String; Object);public_void_visitEnum(String; String; String);public_AnnotationVisitor_visitAnnotation(String; String);public_AnnotationVisitor_visitArray(String);public_void_visitEnd();
deltaspike, 8936f921f39d270ecd5cc762d92c0b66f579b61d,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/component/window/WindowIdHtmlRenderer.java#public_void_encodeBegin(FacesContext; UIComponent) throws IOException;protected_String_secureWindowId(String);private_void_lazyInit();
deltaspike, 8936f921f39d270ecd5cc762d92c0b66f579b61d,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/config/view/DefaultErrorViewAwareExceptionHandlerWrapper.java#public_void_handle() throws FacesException;protected_boolean_isExceptionToHandle(Throwable);private_void_lazyInit();public_ExceptionHandler_getWrapped();
deltaspike, 8936f921f39d270ecd5cc762d92c0b66f579b61d,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/config/view/navigation/ViewConfigAwareNavigationHandler.java#public_void_handleNavigation(FacesContext; String; String);private_void_addConfiguredViewParameters(Class<?>);private_void_addConfiguredPageParameter(NavigationParameter);private_String_convertEntryToOutcome(ExternalContext; ViewConfigDescriptor);private_ViewConfigDescriptor_tryToUpdateEntry(ViewConfigDescriptor; PreViewConfigNavigateEvent);private_PreViewConfigNavigateEvent_firePreViewConfigNavigateEvent(String; ViewConfigDescriptor);private_void_lazyInit();private_synchronized_void_init();
deltaspike, 8936f921f39d270ecd5cc762d92c0b66f579b61d,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/listener/phase/DeltaSpikePhaseListener.java#public_void_beforePhase(PhaseEvent);private_void_onBeforeRenderResponse(FacesContext);public_void_afterPhase(PhaseEvent);private_void_onAfterRestoreView(FacesContext);private_void_onAfterRenderResponse(FacesContext);public_PhaseId_getPhaseId();private_void_checkSecuredView(FacesContext);private_synchronized_void_lazyInit();private_void_processInitView(PhaseEvent);private_void_processInitView(String);private_void_processPreRenderView(FacesContext);private_void_processPostRenderView(FacesContext);private_boolean_isRedirectRequest(FacesContext);
deltaspike, 8936f921f39d270ecd5cc762d92c0b66f579b61d,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/navigation/NavigationHandlerAwareApplication.java#public_NavigationHandler_getNavigationHandler();private_NavigationHandler_wrapNavigationHandler(NavigationHandler);private_static_synchronized_void_lazyInit();private_NavigationHandler_wrapNavigationHandlerWithNewWrapper(NavigationHandler);public_Application_getWrapped();
deltaspike, 8936f921f39d270ecd5cc762d92c0b66f579b61d,deltaspike/modules/jsf/impl/src/main/java/org/apache/deltaspike/jsf/impl/security/SecurityAwareViewHandler.java#public_ViewHandler_getWrapped();public_UIViewRoot_createView(FacesContext; String);protected_void_broadcastAccessDeniedException(ErrorViewAwareAccessDeniedException);private_synchronized_void_lazyInit();private_void_deactivatePreDestroyViewMapEvent(FacesContext);private_void_activatePreDestroyViewMapEvent(FacesContext);
deltaspike, 752a4a57fa79a939dc1713d4c8bbc83b3fc6df5e,deltaspike/modules/bean-validation/impl/src/main/java/org/apache/deltaspike/beanvalidation/impl/CDIAwareConstraintValidatorFactory.java#public_T_getInstance(Class<T>);public_void_releaseInstance(ConstraintValidator<?; ?>);private_synchronized_void_lazyInit();
deltaspike, 8cc79884c6e2d0490eaa3a3c69dc6d0073973783,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/ProjectStageProducer.java#public_ProjectStage_getProjectStage();public_static_ProjectStageProducer_getInstance();private_static_synchronized_void_lazyInit();protected_ProjectStage_resolveProjectStage();protected_void_initProjectStage();protected_void_reset();private_static_void_resetCache();public_static_void_setProjectStage(ProjectStage);
deltaspike, 7909fc405176ab4f718f3901350983e81378ac37,deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/Annotateds.java#public_int_compare(AnnotatedCallable<? super T>; AnnotatedCallable<? super T>);public_static_Comparator<AnnotatedMethod<?_super_T>>_instance();public_int_compare(AnnotatedMethod<? super T>; AnnotatedMethod<? super T>);public_static_Comparator<AnnotatedConstructor<?_super_T>>_instance();public_int_compare(AnnotatedConstructor<? super T>; AnnotatedConstructor<? super T>);public_static_Comparator<AnnotatedField<?_super_T>>_instance();public_int_compare(AnnotatedField<? super T>; AnnotatedField<? super T>);public_int_compare(Annotation; Annotation);public_int_compare(Method; Method);public_static_String_createTypeId(AnnotatedType<X>);public_static_String_createTypeId(Class<X>; Collection<Annotation>; Collection<AnnotatedMethod<? super X>>; Collection<AnnotatedField<? super X>>; Collection<AnnotatedConstructor<X>>);public_static_String_createFieldId(AnnotatedField<X>);public_static_String_createFieldId(Field; Collection<Annotation>);public_static_String_createCallableId(AnnotatedCallable<X>);public_static_String_createMethodId(Method; Set<Annotation>; List<AnnotatedParameter<X>>);public_static_String_createConstructorId(Constructor<X>; Set<Annotation>; List<AnnotatedParameter<X>>);public_static_String_createParameterListId(List<AnnotatedParameter<X>>);public_static_String_createParameterId(AnnotatedParameter<X>);public_static_String_createParameterId(Type; Set<Annotation>);public_static_boolean_compareAnnotatedField(AnnotatedField<?>; AnnotatedField<?>);public_static_boolean_compareAnnotatedCallable(AnnotatedCallable<?>; AnnotatedCallable<?>);public_static_boolean_compareAnnotatedTypes(AnnotatedType<?>; AnnotatedType<?>);private_static_boolean_hasMethodParameters(AnnotatedCallable<X>);private_static_String_createAnnotationCollectionId(Collection<Annotation>);private_static_String_createArrayId(Object);private_static_String_createClassArrayId(Class<?>[]);private_static_boolean_compareAnnotated(Annotated; Annotated);private_static_boolean_compareAnnotatedParameters(List<? extends AnnotatedParameter<?>>; List<? extends AnnotatedParameter<?>>);
